route_id,time20,time14,time15,time16,time17,time18,time19,dist20,dist14,dist15,dist16,dist17,dist18,dist19
368,17.3,17.3,17.3,1337.2,1337.2,1337.2,999,72.2,72.2,72.2,20722.8,20723.1,20723.8,999
369,1845.8,1588.5,1430.5,1430.5,1430.5,1422.3,999,13842,12406.2,11955.5,11955.7,11956.1,11636.1,999
370,264.5,264.5,276.3,276.3,276.3,276.3,999,1793.9,1793.8,1872.7,1872.7,1872.9,1872.8,999
371,1896,1896,1889.2,1865.4,1866,1866,999,17603.3,17604.1,17535.1,17322.4,17325.2,17325.2,999
372,1383.8,1385.8,1413.2,1413.2,1385.4,1385.4,999,15272.6,15293.6,15277.6,15277.5,15350.6,15350.9,999
373,877.3,877.3,877.3,877.3,877.3,816.8,999,9070,9069.6,9069.3,9069.3,9069.4,9555.8,999
374,1297,1297,1297,1297,1297,1297,999,13245.2,13244.7,13245.5,13245.4,13245.3,13244.9,999
375,1662.4,1584.3,1581.8,1581.8,1576.5,1576.5,999,15680,15751.1,15815.4,15815.6,15741.9,15742.3,999
376,859.2,859.2,879.7,879.7,879.7,879.7,999,7493.6,7493.8,7510.2,7510.2,7510.2,7510.2,999
377,1162.1,1144.6,1144.6,1144.6,1144.6,1170.8,999,16431.2,15403.3,15403.1,15403.2,15403.5,15552,999
378,810,810,803.7,803.7,787.6,786.2,999,8543,8542.9,8520.1,8520.2,8358.2,8407.6,999
379,1442.3,1442.3,1442.3,1442.3,1442.3,1442.3,999,16345.9,16345.8,16345.6,16345.3,16345.1,16345.2,999
380,949.5,949.5,1033.4,1033.4,1033.4,1033.2,999,8940.6,8940.4,9793.2,9793,9792.9,9793.5,999
381,430,430,430,430,425.2,373.5,999,4323.3,4323.6,4323.2,4323.2,3559.9,3482.9,999
382,1353.8,1287.7,1291.4,1291.4,1291.4,1274.9,999,11260.8,11729.9,11968.3,11968,11968.1,12027.6,999
383,48.2,48.2,48.2,1501.2,1501.2,1501.2,999,199.9,199.9,199.9,18006.1,18006.3,18006.4,999
384,1173.7,1175.2,1173.7,1173.7,1212,1212,999,11414.4,11367.1,11415.3,11415.4,11529.8,11529.9,999
385,1033.7,1033.7,1032.1,1032.1,1032.1,1032.1,999,14379.3,14380.1,14383.6,14383.6,14384.1,14384.4,999
386,1412.6,1412.6,1411.9,1411.9,1411.9,1411.9,999,11534.6,11534.9,11876.5,11876.4,11876.3,11876.4,999
387,2566.6,2566.6,2567,2567,2567,2567,999,25649.4,25650,25656.1,25656,25656.2,25655.9,999
388,1153.5,1075.3,1055.6,1086.3,1055.6,1055.6,999,10841,10696.3,10225.4,10522.7,10224.8,10224.4,999
389,649.3,649.3,646.8,646.8,646.8,646.8,999,6555.6,6555.7,5386.2,5386.2,5386.2,5386.2,999
390,1261.9,1261.9,1261.9,1203.8,1203.8,1227.1,999,17101.5,17101.2,17101.1,16566.2,16565.8,16653.4,999
391,382.9,382.9,376.9,376.9,376.9,377.8,999,3264.9,3264.4,3307.9,3307.9,3307.9,3314,999
392,1138.6,2079.4,1139,1139,1898.7,1894.6,999,16147.9,18529.4,16154.3,16154.5,23987.2,17556,999
393,1331.5,1331.5,1331.5,1331.5,1331.5,1327.1,999,14251.3,14251.4,14251.4,14251.3,14251.2,14298.2,999
394,995.8,995.8,975.3,975.8,975.3,975.3,999,14707.4,14707.7,13270.1,12734,13270.2,13267.9,999
395,39.1,39.1,39.1,39.1,1460,1460,999,79,79,79,79,14743.3,14743.1,999
396,410,410,410,410,410,472.1,999,4169,4168.9,4169.6,4169.3,4169.2,5519.4,999
397,1028,1028,1059.4,1059.4,1059,972.6,999,8573.3,8573.3,8590,8590.2,8484.9,8306.6,999
398,549.5,545.7,746.9,746.9,790.5,790.5,999,9044.4,8956.1,10689.1,10689.2,10940.6,10940.8,999
